Job_ID,Job_Title,Company,Industry,Location,Experience_Years,Salary_INR,Employment_Type,Company_Size,Education_Required,Hiring_Urgency,Open_Positions,Applicant_Count,Skills,Posted_Date
AIJ100020,Data Scientist,CloudMind,SaaS,Bangalore,13,3499981,Hybrid,Startup,PhD,Low,16,354,"Excel, Power BI, PyTorch, Python, Tableau",2026-05-07
AIJ100021,Machine Learning Engineer,InnoTech,SaaS,Ahmedabad,14,2380192,Hybrid,Enterprise,Bachelor's,Low,15,323,"Excel, LLMs, PyTorch, Statistics, Tableau",2025-07-14
AIJ100022,Data Scientist,Insight Labs,Telecom,Ahmedabad,3,1004590,Onsite,Mid-size,PhD,Medium,17,192,"Deep Learning, Power BI, Statistics, Tableau, TensorFlow",2025-08-01
AIJ100023,Data Analyst,TechNova,EdTech,Hyderabad,2,3886067,Remote,Startup,Master's,High,11,290,"Azure, Excel, Python, Statistics, Tableau",2026-03-26
AIJ100024,Machine Learning Engineer,CloudMind,Finance,Delhi,10,2278478,Onsite,Startup,PhD,Medium,5,248,"Azure, LLMs, PyTorch, Statistics, Tableau",2025-06-18
AIJ100025,MLOps Engineer,InnoTech,Telecom,Pune,15,857309,Hybrid,Startup,Master's,High,4,74,"AWS, Machine Learning, PyTorch, SQL, TensorFlow",2026-05-09
AIJ100026,AI Engineer,QuantEdge,Cybersecurity,Delhi,11,2289906,Hybrid,Startup,Bachelor's,High,4,313,"AWS, Deep Learning, NLP, SQL, Tableau",2026-01-06
AIJ100027,MLOps Engineer,AIWorks,Telecom,Bangalore,15,1679207,Remote,Startup,Bachelor's,Medium,2,60,"Azure, LLMs, Power BI, Tableau, TensorFlow",2025-09-15
AIJ100028,MLOps Engineer,TechNova,Healthcare,Bangalore,3,4369955,Onsite,Startup,Bachelor's,High,2,193,"Deep Learning, LLMs, NLP, Tableau, TensorFlow",2026-04-12
AIJ100029,MLOps Engineer,NextGen AI,Retail,Pune,0,2946836,Hybrid,Enterprise,Master's,Medium,8,427,"Deep Learning, PyTorch, Python, SQL, Statistics",2026-03-18
AIJ100030,Data Analyst,CloudMind,EdTech,Bangalore,0,2708406,Hybrid,Enterprise,Master's,Medium,5,443,"AWS, Azure, Excel, Machine Learning, Python",2025-10-14
AIJ100031,Computer Vision Engineer,TechNova,Cybersecurity,Noida,0,2967382,Remote,Mid-size,PhD,Low,20,176,"Machine Learning, NLP, PyTorch, SQL, TensorFlow",2026-03-30
AIJ100032,Data Analyst,Insight Labs,Finance,Hyderabad,6,3505362,Hybrid,Mid-size,Master's,High,18,288,"Azure, Excel, NLP, Power BI, Python",2025-08-25
AIJ100033,Machine Learning Engineer,InnoTech,Cybersecurity,Bangalore,3,1644061,Onsite,Enterprise,Bachelor's,Medium,4,467,"AWS, Excel, LLMs, Python, SQL",2026-01-19
AIJ100034,Machine Learning Engineer,CloudMind,Telecom,Pune,8,4857206,Onsite,Startup,PhD,High,4,479,"AWS, Deep Learning, Excel, LLMs, NLP",2025-12-20
AIJ100035,AI Researcher,InnoTech,Healthcare,Pune,3,1346630,Hybrid,Mid-size,Master's,High,6,429,"Azure, LLMs, Power BI, Python, Tableau",2026-04-02
AIJ100036,Data Analyst,TechNova,Telecom,Bangalore,2,1965084,Onsite,Mid-size,Master's,Low,13,433,"Excel, LLMs, Machine Learning, Python, SQL",2025-10-04
AIJ100037,MLOps Engineer,CloudMind,Healthcare,Noida,6,3103257,Hybrid,Enterprise,PhD,High,11,21,"Deep Learning, Excel, NLP, Power BI, Tableau",2025-11-03
AIJ100038,MLOps Engineer,InnoTech,Logistics,Mumbai,13,1050814,Remote,Startup,PhD,Low,18,123,"Machine Learning, SQL, Statistics, Tableau, TensorFlow",2026-03-18
AIJ100039,MLOps Engineer,Insight Labs,Cybersecurity,Pune,6,1252381,Hybrid,Startup,PhD,Medium,1,116,"Deep Learning, Power BI, PyTorch, Python, Statistics",2025-12-15
AIJ100040,Data Scientist,TechNova,Telecom,Ahmedabad,12,3299771,Onsite,Startup,PhD,High,13,229,"Deep Learning, NLP, Python, SQL, Statistics",2026-02-15
AIJ100041,Data Analyst,AIWorks,Retail,Remote,9,3560087,Onsite,Mid-size,PhD,Medium,10,220,"Deep Learning, NLP, Power BI, PyTorch, Statistics",2026-01-29
AIJ100042,Data Scientist,TechNova,Retail,Noida,3,4308816,Onsite,Startup,PhD,High,16,25,"AWS, Excel, LLMs, Statistics, TensorFlow",2026-02-09
AIJ100043,LLM Engineer,NextGen AI,EdTech,Bangalore,1,3644838,Remote,Enterprise,Bachelor's,Medium,12,396,"Azure, Deep Learning, Machine Learning, Power BI, SQL",2026-05-01
AIJ100044,Data Scientist,InnoTech,Telecom,Bangalore,3,4594572,Onsite,Startup,PhD,High,16,181,"AWS, Azure, Deep Learning, Excel, Machine Learning",2025-12-05
AIJ100045,Computer Vision Engineer,QuantEdge,Retail,Hyderabad,3,942393,Onsite,Enterprise,PhD,Low,12,487,"Deep Learning, LLMs, NLP, Power BI, Python",2026-02-09
AIJ100046,MLOps Engineer,AIWorks,EdTech,Noida,5,4576055,Onsite,Enterprise,Bachelor's,Medium,5,151,"AWS, Deep Learning, LLMs, PyTorch, TensorFlow",2025-10-25
AIJ100047,Data Analyst,DataSphere,Telecom,Ahmedabad,12,3172443,Remote,Enterprise,Master's,Medium,3,177,"NLP, Python, SQL, Statistics, TensorFlow",2025-06-22
AIJ100048,Computer Vision Engineer,NextGen AI,Cybersecurity,Hyderabad,15,3361798,Onsite,Startup,Bachelor's,Low,5,344,"Azure, Deep Learning, Statistics, Tableau, TensorFlow",2026-03-13
AIJ100049,AI Engineer,NextGen AI,Retail,Delhi,11,3106846,Onsite,Startup,Master's,Low,2,70,"Machine Learning, Power BI, PyTorch, Python, Statistics",2025-08-16
AIJ100050,AI Researcher,Insight Labs,Telecom,Ahmedabad,2,2080714,Remote,Mid-size,Bachelor's,Medium,14,387,"AWS, Azure, LLMs, SQL, TensorFlow",2026-04-06
AIJ100051,LLM Engineer,Insight Labs,Finance,Hyderabad,8,1251940,Onsite,Startup,Master's,Low,7,52,"Azure, Deep Learning, SQL, Statistics, TensorFlow",2026-05-10
AIJ100052,MLOps Engineer,QuantEdge,Healthcare,Kolkata,1,1287841,Hybrid,Enterprise,Master's,Medium,11,198,"AWS, Machine Learning, Power BI, SQL, Statistics",2026-02-06
AIJ100053,Data Scientist,TechNova,Logistics,Kolkata,10,776570,Remote,Mid-size,Master's,High,10,87,"AWS, Machine Learning, Statistics, Tableau, TensorFlow",2025-08-12
AIJ100054,LLM Engineer,TechNova,Logistics,Bangalore,6,3269713,Remote,Enterprise,Master's,High,8,444,"Excel, LLMs, Power BI, Tableau, TensorFlow",2025-10-11
AIJ100055,AI Researcher,NextGen AI,Logistics,Ahmedabad,14,2762188,Hybrid,Enterprise,Master's,Low,13,453,"AWS, Azure, Machine Learning, SQL, TensorFlow",2025-10-31
AIJ100056,Prompt Engineer,AIWorks,EdTech,Mumbai,5,3991694,Onsite,Mid-size,PhD,High,9,320,"Excel, LLMs, Power BI, PyTorch, Tableau",2025-07-07
AIJ100057,Data Analyst,Insight Labs,Finance,Remote,12,1029969,Hybrid,Mid-size,PhD,High,5,96,"AWS, Deep Learning, Machine Learning, NLP, Power BI",2025-11-24
AIJ100058,NLP Engineer,Insight Labs,Retail,Bangalore,14,2750049,Onsite,Startup,PhD,Low,10,107,"Excel, Machine Learning, Python, Statistics, Tableau",2026-01-06
AIJ100059,Prompt Engineer,QuantEdge,Healthcare,Bangalore,5,3293728,Onsite,Enterprise,Bachelor's,Medium,2,61,"AWS, Python, SQL, Statistics, Tableau",2025-10-11
AIJ100060,Machine Learning Engineer,QuantEdge,Telecom,Bangalore,3,4897168,Remote,Enterprise,PhD,Low,4,222,"Deep Learning, Excel, Power BI, Statistics, Tableau",2025-08-19
AIJ100061,AI Researcher,AIWorks,Cybersecurity,Kolkata,0,4589357,Hybrid,Mid-size,Master's,High,20,91,"Excel, Machine Learning, NLP, Power BI, Tableau",2025-07-13
AIJ100062,AI Researcher,AIWorks,EdTech,Bangalore,5,2449454,Hybrid,Enterprise,Bachelor's,Low,10,331,"Azure, NLP, Power BI, Python, TensorFlow",2026-01-26
AIJ100063,Data Analyst,InnoTech,Telecom,Pune,8,2609729,Onsite,Mid-size,Master's,Low,5,326,"Deep Learning, Python, SQL, Statistics, Tableau",2025-06-15
AIJ100064,MLOps Engineer,CloudMind,Logistics,Pune,5,4399989,Hybrid,Enterprise,Bachelor's,Medium,18,168,"Deep Learning, LLMs, Python, SQL, TensorFlow",2025-10-17
AIJ100065,Machine Learning Engineer,CloudMind,Cybersecurity,Bangalore,14,4423932,Hybrid,Startup,PhD,Medium,16,189,"AWS, Excel, SQL, Statistics, Tableau",2025-09-02
AIJ100066,NLP Engineer,DataSphere,Finance,Mumbai,11,3638905,Hybrid,Mid-size,Master's,Low,6,133,"AWS, Deep Learning, LLMs, Power BI, Tableau",2025-12-22
AIJ100067,AI Researcher,AIWorks,EdTech,Kolkata,11,3667523,Remote,Mid-size,PhD,Medium,13,283,"Azure, Deep Learning, NLP, Python, Statistics",2026-03-02
AIJ100068,Data Analyst,QuantEdge,EdTech,Remote,7,1798270,Onsite,Mid-size,Master's,High,20,174,"AWS, Deep Learning, NLP, Python, TensorFlow",2026-05-08
AIJ100069,AI Researcher,TechNova,EdTech,Mumbai,8,1618001,Hybrid,Startup,Master's,Low,6,133,"Deep Learning, Excel, LLMs, Power BI, PyTorch",2026-01-30
AIJ100070,MLOps Engineer,QuantEdge,Healthcare,Kolkata,13,2678068,Onsite,Enterprise,Master's,Low,3,128,"Deep Learning, Excel, LLMs, NLP, TensorFlow",2026-06-08
AIJ100071,Data Scientist,NextGen AI,Retail,Kolkata,8,4335916,Onsite,Enterprise,Master's,High,2,38,"Azure, Power BI, Statistics, Tableau, TensorFlow",2026-05-28
AIJ100072,Data Scientist,QuantEdge,Healthcare,Remote,11,1601116,Remote,Startup,Bachelor's,High,3,47,"LLMs, NLP, PyTorch, Statistics, TensorFlow",2026-01-26
AIJ100073,AI Researcher,CloudMind,EdTech,Chennai,12,2167725,Onsite,Enterprise,Bachelor's,Low,2,349,"Deep Learning, Excel, PyTorch, Statistics, Tableau",2025-09-04
AIJ100074,NLP Engineer,QuantEdge,SaaS,Bangalore,12,3190627,Remote,Startup,Bachelor's,Low,12,334,"AWS, Machine Learning, SQL, Tableau, TensorFlow",2025-12-04
AIJ100075,AI Engineer,TechNova,Cybersecurity,Remote,1,3777728,Onsite,Enterprise,Master's,High,4,97,"Azure, Deep Learning, Excel, Statistics, Tableau",2025-08-14
AIJ100076,Data Analyst,QuantEdge,SaaS,Hyderabad,10,2863006,Hybrid,Enterprise,PhD,High,9,476,"AWS, Deep Learning, Machine Learning, PyTorch, TensorFlow",2026-06-08
AIJ100077,Computer Vision Engineer,AIWorks,Logistics,Ahmedabad,2,1614635,Remote,Enterprise,Master's,High,2,351,"AWS, Azure, Deep Learning, Tableau, TensorFlow",2025-11-20
AIJ100078,Data Analyst,NextGen AI,Healthcare,Hyderabad,7,1935763,Onsite,Startup,Master's,Low,14,80,"Azure, Machine Learning, NLP, PyTorch, Tableau",2026-03-12
AIJ100079,AI Engineer,DataSphere,EdTech,Bangalore,7,950690,Hybrid,Mid-size,Master's,Low,13,213,"Azure, Excel, PyTorch, SQL, Statistics",2025-06-27
AIJ100080,Machine Learning Engineer,Insight Labs,Retail,Chennai,7,3501210,Onsite,Enterprise,PhD,High,2,104,"AWS, Azure, Deep Learning, LLMs, TensorFlow",2025-07-30
AIJ100081,Data Scientist,TechNova,Logistics,Mumbai,1,3867356,Remote,Startup,PhD,Low,5,181,"Deep Learning, Excel, LLMs, Statistics, Tableau",2025-08-20
AIJ100082,Data Analyst,QuantEdge,Healthcare,Mumbai,2,4751945,Remote,Mid-size,Master's,High,5,364,"LLMs, Machine Learning, NLP, Power BI, TensorFlow",2025-09-12
AIJ100083,Prompt Engineer,InnoTech,Finance,Kolkata,3,4370318,Remote,Enterprise,PhD,Medium,3,83,"Machine Learning, NLP, PyTorch, Tableau, TensorFlow",2025-10-17
AIJ100084,Machine Learning Engineer,InnoTech,EdTech,Hyderabad,5,1214133,Hybrid,Enterprise,Master's,Low,8,130,"AWS, Deep Learning, Excel, LLMs, Python",2025-09-18
AIJ100085,Data Scientist,InnoTech,SaaS,Mumbai,2,2845740,Remote,Enterprise,PhD,High,17,212,"AWS, LLMs, Machine Learning, Tableau, TensorFlow",2025-11-16
AIJ100086,Data Analyst,Insight Labs,Logistics,Mumbai,2,962595,Remote,Startup,Master's,Medium,7,277,"LLMs, NLP, PyTorch, Python, Statistics",2025-11-11
AIJ100087,Data Analyst,NextGen AI,Retail,Bangalore,5,3038472,Hybrid,Startup,Master's,Low,3,150,"Azure, Excel, PyTorch, SQL, Statistics",2025-07-20
AIJ100088,AI Researcher,NextGen AI,Finance,Bangalore,14,1656587,Onsite,Enterprise,PhD,High,10,283,"AWS, Machine Learning, NLP, PyTorch, TensorFlow",2025-07-03
AIJ100089,NLP Engineer,AIWorks,EdTech,Hyderabad,14,3139064,Remote,Startup,Master's,Low,15,212,"AWS, Azure, Excel, NLP, Tableau",2025-10-18
AIJ100090,LLM Engineer,CloudMind,Healthcare,Noida,3,4184750,Onsite,Startup,Bachelor's,Medium,14,81,"Deep Learning, Excel, NLP, SQL, TensorFlow",2025-07-13
AIJ100091,Machine Learning Engineer,InnoTech,Finance,Pune,9,3334241,Remote,Mid-size,PhD,Medium,10,50,"Machine Learning, NLP, PyTorch, Python, Tableau",2025-11-16
AIJ100092,MLOps Engineer,NextGen AI,Telecom,Mumbai,8,2373929,Hybrid,Mid-size,PhD,High,7,243,"Deep Learning, LLMs, Power BI, SQL, Tableau",2025-06-14
AIJ100093,LLM Engineer,CloudMind,Retail,Chennai,5,2876316,Remote,Mid-size,Master's,Low,14,496,"Excel, NLP, Power BI, Python, TensorFlow",2025-12-23
AIJ100094,LLM Engineer,TechNova,EdTech,Ahmedabad,13,1934775,Hybrid,Mid-size,Master's,Low,8,462,"AWS, NLP, Python, Tableau, TensorFlow",2025-07-07
AIJ100095,NLP Engineer,AIWorks,Telecom,Remote,2,2122397,Hybrid,Startup,Bachelor's,High,5,72,"Deep Learning, NLP, Power BI, PyTorch, Statistics",2026-02-19
AIJ100096,LLM Engineer,TechNova,Healthcare,Pune,7,4399702,Hybrid,Enterprise,PhD,High,12,103,"Azure, NLP, Python, SQL, TensorFlow",2025-11-05
AIJ100097,Prompt Engineer,CloudMind,EdTech,Kolkata,10,4727658,Onsite,Startup,PhD,Low,6,112,"Excel, LLMs, Power BI, Python, TensorFlow",2026-06-05
AIJ100098,MLOps Engineer,AIWorks,Cybersecurity,Remote,15,4357936,Onsite,Mid-size,Bachelor's,Low,8,420,"AWS, Machine Learning, NLP, SQL, TensorFlow",2025-09-14
AIJ100099,Data Analyst,NextGen AI,Healthcare,Hyderabad,9,4693811,Onsite,Mid-size,Bachelor's,High,20,428,"Deep Learning, LLMs, Statistics, Tableau, TensorFlow",2025-11-30
AIJ100100,MLOps Engineer,DataSphere,Telecom,Chennai,3,2095669,Remote,Startup,Bachelor's,High,17,483,"Azure, Excel, NLP, Power BI, Tableau",2026-03-12
AIJ100101,NLP Engineer,AIWorks,Finance,Mumbai,9,2685954,Hybrid,Enterprise,Bachelor's,Low,11,351,"AWS, Azure, Deep Learning, Machine Learning, Statistics",2025-10-11
AIJ100102,Prompt Engineer,CloudMind,Logistics,Ahmedabad,12,1779524,Onsite,Startup,Bachelor's,Medium,3,195,"Azure, LLMs, NLP, Python, Tableau",2025-10-16
AIJ100103,Machine Learning Engineer,DataSphere,EdTech,Delhi,11,2730227,Onsite,Startup,Master's,High,6,276,"Deep Learning, Excel, PyTorch, Python, TensorFlow",2026-01-30
AIJ100104,NLP Engineer,Insight Labs,Healthcare,Pune,1,3498515,Onsite,Startup,Master's,Low,18,121,"LLMs, Machine Learning, PyTorch, Python, TensorFlow",2026-05-30
AIJ100105,LLM Engineer,TechNova,Retail,Delhi,8,3317490,Onsite,Mid-size,Master's,High,6,295,"LLMs, Machine Learning, Statistics, Tableau, TensorFlow",2026-04-29
AIJ100106,MLOps Engineer,InnoTech,Healthcare,Bangalore,8,3985115,Onsite,Mid-size,Bachelor's,Medium,10,276,"NLP, Power BI, Python, Tableau, TensorFlow",2025-11-10
AIJ100107,Computer Vision Engineer,NextGen AI,Cybersecurity,Chennai,11,892924,Remote,Enterprise,PhD,High,19,101,"AWS, Excel, PyTorch, Statistics, Tableau",2026-02-27
AIJ100108,Data Analyst,QuantEdge,SaaS,Noida,7,3213785,Onsite,Mid-size,PhD,Medium,14,367,"AWS, LLMs, NLP, Python, TensorFlow",2026-02-13
AIJ100109,Prompt Engineer,DataSphere,Telecom,Noida,4,4965247,Hybrid,Mid-size,Bachelor's,Medium,10,70,"AWS, LLMs, Power BI, SQL, TensorFlow",2025-10-24
AIJ100110,Computer Vision Engineer,DataSphere,EdTech,Chennai,2,4168485,Remote,Enterprise,PhD,Medium,2,371,"NLP, Power BI, PyTorch, Tableau, TensorFlow",2025-09-04
AIJ100111,AI Engineer,InnoTech,Retail,Bangalore,1,535386,Onsite,Startup,Bachelor's,Low,11,28,"Azure, NLP, PyTorch, Tableau, TensorFlow",2025-07-09
AIJ100112,Computer Vision Engineer,AIWorks,Cybersecurity,Mumbai,4,4099672,Remote,Enterprise,Bachelor's,Medium,20,454,"Deep Learning, LLMs, PyTorch, SQL, Statistics",2026-04-27
AIJ100113,AI Engineer,DataSphere,Cybersecurity,Bangalore,14,4898032,Hybrid,Mid-size,Bachelor's,Low,8,43,"Azure, Deep Learning, Power BI, Python, Tableau",2025-07-01
AIJ100114,Data Analyst,DataSphere,SaaS,Remote,1,3862167,Hybrid,Enterprise,Master's,Medium,10,57,"Azure, Power BI, SQL, Tableau, TensorFlow",2025-12-17
AIJ100115,Prompt Engineer,Insight Labs,Cybersecurity,Noida,6,3691523,Hybrid,Mid-size,Bachelor's,Medium,4,337,"Azure, LLMs, Python, SQL, TensorFlow",2025-12-24
AIJ100116,LLM Engineer,CloudMind,Cybersecurity,Chennai,15,1138796,Onsite,Mid-size,Bachelor's,Low,14,218,"Azure, NLP, PyTorch, Statistics, TensorFlow",2025-08-03
AIJ100117,NLP Engineer,CloudMind,Cybersecurity,Noida,15,2392944,Onsite,Mid-size,Master's,High,13,51,"AWS, Excel, NLP, SQL, Tableau",2026-02-05
AIJ100118,Data Analyst,NextGen AI,Telecom,Mumbai,15,2047579,Hybrid,Mid-size,Bachelor's,Low,15,33,"Azure, Excel, Power BI, PyTorch, SQL",2026-05-11
AIJ100119,Computer Vision Engineer,AIWorks,SaaS,Bangalore,3,1776759,Onsite,Startup,Master's,Medium,17,486,"Azure, LLMs, Machine Learning, Tableau, TensorFlow",2026-03-21
AIJ100120,NLP Engineer,InnoTech,Finance,Delhi,8,1677198,Hybrid,Mid-size,PhD,High,2,59,"Machine Learning, Python, SQL, Tableau, TensorFlow",2025-10-31
AIJ100121,Data Analyst,AIWorks,Telecom,Remote,2,3186776,Hybrid,Startup,Master's,Low,1,483,"AWS, Deep Learning, Power BI, PyTorch, Tableau",2025-07-27
AIJ100122,LLM Engineer,CloudMind,Cybersecurity,Chennai,10,4031922,Onsite,Mid-size,Master's,High,3,19,"Azure, Excel, LLMs, Python, Tableau",2026-06-01
AIJ100123,NLP Engineer,Insight Labs,Retail,Chennai,10,3662193,Remote,Startup,Bachelor's,High,11,168,"Azure, Excel, PyTorch, Tableau, TensorFlow",2025-12-16
AIJ100124,LLM Engineer,NextGen AI,SaaS,Chennai,7,942315,Onsite,Mid-size,PhD,Low,6,419,"LLMs, NLP, Power BI, Python, TensorFlow",2026-01-26
AIJ100125,Data Scientist,AIWorks,EdTech,Hyderabad,14,1844914,Remote,Enterprise,Bachelor's,High,17,30,"Deep Learning, Machine Learning, Power BI, PyTorch, Python",2026-03-30
AIJ100126,Data Scientist,Insight Labs,EdTech,Remote,6,4664378,Remote,Startup,Bachelor's,Medium,12,441,"LLMs, Machine Learning, NLP, SQL, Tableau",2025-10-29
AIJ100127,MLOps Engineer,Insight Labs,Cybersecurity,Chennai,1,998551,Onsite,Startup,PhD,High,9,298,"Deep Learning, Excel, PyTorch, Python, TensorFlow",2025-07-03
AIJ100128,AI Researcher,NextGen AI,Telecom,Mumbai,10,3549459,Remote,Mid-size,Master's,High,12,442,"Azure, LLMs, Power BI, Python, Statistics",2025-07-30
AIJ100129,AI Researcher,TechNova,Logistics,Ahmedabad,5,4029339,Onsite,Mid-size,PhD,High,12,372,"AWS, Deep Learning, Machine Learning, PyTorch, TensorFlow",2026-02-09
AIJ100130,Computer Vision Engineer,CloudMind,Cybersecurity,Noida,10,4880915,Hybrid,Enterprise,Master's,Low,19,91,"AWS, Machine Learning, Power BI, Python, Statistics",2025-10-16
AIJ100131,Data Scientist,QuantEdge,SaaS,Pune,9,3203194,Onsite,Startup,Master's,High,6,400,"AWS, Excel, PyTorch, Python, TensorFlow",2026-04-24
AIJ100132,NLP Engineer,DataSphere,Cybersecurity,Bangalore,13,968785,Remote,Enterprise,PhD,Medium,3,280,"Deep Learning, Excel, Machine Learning, NLP, Power BI",2026-03-08
AIJ100133,Prompt Engineer,InnoTech,SaaS,Ahmedabad,2,3499503,Remote,Startup,Master's,High,11,260,"Deep Learning, Machine Learning, NLP, SQL, TensorFlow",2026-06-03
AIJ100134,Data Analyst,NextGen AI,EdTech,Chennai,2,2945693,Onsite,Enterprise,Master's,Medium,8,145,"AWS, Deep Learning, Power BI, PyTorch, SQL",2026-02-10
AIJ100135,NLP Engineer,CloudMind,SaaS,Hyderabad,10,1218343,Remote,Mid-size,PhD,Low,10,83,"Azure, Machine Learning, Python, SQL, TensorFlow",2025-09-29
AIJ100136,Data Scientist,InnoTech,Logistics,Kolkata,2,1109975,Remote,Enterprise,Master's,Medium,13,46,"Azure, Deep Learning, PyTorch, Tableau, TensorFlow",2026-03-26
AIJ100137,Prompt Engineer,QuantEdge,EdTech,Kolkata,11,4157253,Hybrid,Startup,PhD,Medium,16,159,"NLP, Power BI, PyTorch, Tableau, TensorFlow",2025-06-21
AIJ100138,AI Researcher,QuantEdge,SaaS,Mumbai,14,4955125,Onsite,Enterprise,Master's,Medium,19,66,"AWS, Azure, Excel, Machine Learning, SQL",2025-12-18
AIJ100139,AI Engineer,TechNova,Healthcare,Pune,9,2548810,Remote,Enterprise,Bachelor's,Low,20,480,"NLP, PyTorch, Python, Tableau, TensorFlow",2026-04-25
AIJ100140,Data Scientist,QuantEdge,Cybersecurity,Pune,3,3603471,Hybrid,Startup,Bachelor's,Low,8,470,"AWS, NLP, Power BI, Python, Statistics",2025-12-15
AIJ100141,AI Engineer,CloudMind,Finance,Hyderabad,10,1100990,Hybrid,Mid-size,Bachelor's,Low,7,352,"AWS, Azure, Machine Learning, NLP, TensorFlow",2025-07-31
AIJ100142,Prompt Engineer,Insight Labs,EdTech,Pune,9,1459012,Remote,Enterprise,Bachelor's,Medium,3,81,"Azure, Deep Learning, NLP, Python, Statistics",2025-12-10
AIJ100143,Machine Learning Engineer,Insight Labs,SaaS,Chennai,12,3349338,Onsite,Startup,Master's,Low,15,399,"AWS, Azure, Excel, NLP, Python",2025-12-27
AIJ100144,MLOps Engineer,NextGen AI,SaaS,Delhi,12,4775226,Remote,Startup,Bachelor's,Medium,2,80,"AWS, Power BI, PyTorch, Tableau, TensorFlow",2025-10-23
AIJ100145,Prompt Engineer,InnoTech,Logistics,Chennai,8,4666447,Hybrid,Startup,Master's,Medium,16,422,"Deep Learning, Excel, LLMs, Machine Learning, SQL",2026-05-03
AIJ100146,Prompt Engineer,DataSphere,EdTech,Noida,7,913109,Onsite,Startup,Bachelor's,Low,14,48,"Machine Learning, NLP, Python, Statistics, TensorFlow",2025-10-13
